queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
organisation-3212,organisation,organisation:taskset,Taskset,assertion:wikipedia:list-of-zx-spectrum-games:rupert-and-the-ice-castle:developer-as-printed:taskset,Taskset,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-3213,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:rupert-and-the-ice-castle:licensed-from-as-printed:daily-express-rupert-bear,Daily Express ( Rupert Bear ),wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3214,organisation,organisation:bug-byte,Bug-Byte,assertion:wikipedia:list-of-zx-spectrum-games:rupert-and-the-ice-castle:publisher-as-printed:bug-byte,Bug-Byte,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3215,organisation,organisation:quicksilva,Quicksilva,assertion:wikipedia:list-of-zx-spectrum-games:rupert-and-the-toymakers-party:developer-as-printed:quicksilva,Quicksilva,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3216,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:rupert-and-the-toymakers-party:licensed-from-as-printed:daily-express-rupert-bear,Daily Express ( Rupert Bear ),wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3217,organisation,organisation:quicksilva,Quicksilva,assertion:wikipedia:list-of-zx-spectrum-games:rupert-and-the-toymakers-party:publisher-as-printed:quicksilva,Quicksilva,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3218,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:rygar:developer-as-printed:probe-software-antony-r-lill,Probe Software ( Antony R. Lill ),wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3219,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:rygar:licensed-from-as-printed:temco,Temco,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3220,organisation,organisation:u-s-gold,U.S. Gold,assertion:wikipedia:list-of-zx-spectrum-games:rygar:publisher-as-printed:u-s-gold,U.S. Gold,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3221,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:s-m-a-s-h-e-d:developer-as-printed:charles-a-sharp,Charles A. Sharp,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3222,organisation,organisation:alternative-software,Alternative Software,assertion:wikipedia:list-of-zx-spectrum-games:s-m-a-s-h-e-d:publisher-as-printed:alternative-software,Alternative Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3223,organisation,organisation:roy-stead,Roy Stead,assertion:wikipedia:list-of-zx-spectrum-games:s-t-i:developer-as-printed:roy-stead,Roy Stead,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-3224,organisation,organisation:bug-byte,Bug-Byte,assertion:wikipedia:list-of-zx-spectrum-games:s-t-i:publisher-as-printed:bug-byte,Bug-Byte,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
