queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
game-2206,game,game:1942,1942,assertion:wikipedia:list-of-zx-spectrum-games:1942:licensed-from-as-printed:capcom,1942,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2207,game,game:1942,1942,assertion:wikipedia:list-of-zx-spectrum-games:1942:publisher-as-printed:elite-systems,1942,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2208,game,game:1942,1942,assertion:wikipedia:list-of-zx-spectrum-games:1942:release-date-as-printed:1986,1942,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2209,game,game:1942,1942,assertion:wikipedia:list-of-zx-spectrum-games:1942:title-seed:1942,1942,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2210,game,,,assertion:wikipedia:list-of-zx-spectrum-games:1943-the-battle-of-midway:licensed-from-as-printed:capcom,1943: The Battle of Midway,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2211,game,,,assertion:wikipedia:list-of-zx-spectrum-games:1943-the-battle-of-midway:publisher-as-printed:go,1943: The Battle of Midway,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2212,game,,,assertion:wikipedia:list-of-zx-spectrum-games:1943-the-battle-of-midway:release-date-as-printed:1988,1943: The Battle of Midway,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2213,game,,,assertion:wikipedia:list-of-zx-spectrum-games:1943-the-battle-of-midway:title-seed:1943-the-battle-of-midway,1943: The Battle of Midway,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2214,game,game:1999,1999,assertion:wikipedia:list-of-zx-spectrum-games:1999:developer-as-printed:ice-cool-coders-chris-pile-balor-knight-stephen-corry,1999,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2215,game,game:1999,1999,assertion:wikipedia:list-of-zx-spectrum-games:1999:publisher-as-printed:summit-software,1999,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2216,game,game:1999,1999,assertion:wikipedia:list-of-zx-spectrum-games:1999:release-date-as-printed:1987,1999,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2217,game,game:1999,1999,assertion:wikipedia:list-of-zx-spectrum-games:1999:title-seed:1999,1999,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2218,game,game:1st-division-manager,1st Division Manager,assertion:wikipedia:list-of-zx-spectrum-games:1st-division-manager:developer-as-printed:nick-thompson-michael-a-sanderson-lyndon-sharp,1st Division Manager,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2219,game,game:1st-division-manager,1st Division Manager,assertion:wikipedia:list-of-zx-spectrum-games:1st-division-manager:publisher-as-printed:codemasters,1st Division Manager,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2220,game,game:1st-division-manager,1st Division Manager,assertion:wikipedia:list-of-zx-spectrum-games:1st-division-manager:release-date-as-printed:1991,1st Division Manager,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2221,game,game:1st-division-manager,1st Division Manager,assertion:wikipedia:list-of-zx-spectrum-games:1st-division-manager:title-seed:1st-division-manager,1st Division Manager,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2222,game,,,assertion:wikipedia:list-of-zx-spectrum-games:2-player-soccer-squard:developer-as-printed:jay-parnell-shaun-mcclure,2 Player Soccer Squard,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2223,game,,,assertion:wikipedia:list-of-zx-spectrum-games:2-player-soccer-squard:publisher-as-printed:cult-games,2 Player Soccer Squard,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2224,game,,,assertion:wikipedia:list-of-zx-spectrum-games:2-player-soccer-squard:release-date-as-printed:1991,2 Player Soccer Squard,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2225,game,,,assertion:wikipedia:list-of-zx-spectrum-games:2-player-soccer-squard:title-seed:2-player-soccer-squard,2 Player Soccer Squard,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2226,game,game:2088,2088,assertion:wikipedia:list-of-zx-spectrum-games:2088:developer-as-printed:ian-beynon-michael-owens,2088,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2227,game,game:2088,2088,assertion:wikipedia:list-of-zx-spectrum-games:2088:publisher-as-printed:zeppelin-games,2088,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2228,game,game:2088,2088,assertion:wikipedia:list-of-zx-spectrum-games:2088:release-date-as-printed:1988,2088,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2229,game,game:2088,2088,assertion:wikipedia:list-of-zx-spectrum-games:2088:title-seed:2088,2088,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2230,game,game:3d-monster-chase,3D Monster Chase,assertion:wikipedia:list-of-zx-spectrum-games:3-d-monster-chase:developer-as-printed:dave-noonan,3-D Monster Chase,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2231,game,game:3d-monster-chase,3D Monster Chase,assertion:wikipedia:list-of-zx-spectrum-games:3-d-monster-chase:publisher-as-printed:romik-software,3-D Monster Chase,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2232,game,game:3d-monster-chase,3D Monster Chase,assertion:wikipedia:list-of-zx-spectrum-games:3-d-monster-chase:release-date-as-printed:1984,3-D Monster Chase,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2233,game,game:3d-monster-chase,3D Monster Chase,assertion:wikipedia:list-of-zx-spectrum-games:3-d-monster-chase:title-seed:3-d-monster-chase,3-D Monster Chase,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2234,game,game:3d-construction-kit,3D Construction Kit,assertion:wikipedia:list-of-zx-spectrum-games:3d-construction-kit:developer-as-printed:kevin-parker-sean-ellis-ian-andrew-chris-andrew-paul-gregory-eugene-messina,3D Construction Kit,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2235,game,game:3d-construction-kit,3D Construction Kit,assertion:wikipedia:list-of-zx-spectrum-games:3d-construction-kit:publisher-as-printed:domark,3D Construction Kit,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2236,game,game:3d-construction-kit,3D Construction Kit,assertion:wikipedia:list-of-zx-spectrum-games:3d-construction-kit:release-date-as-printed:1991,3D Construction Kit,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2237,game,game:3d-construction-kit,3D Construction Kit,assertion:wikipedia:list-of-zx-spectrum-games:3d-construction-kit:title-seed:3d-construction-kit,3D Construction Kit,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2238,game,,,assertion:wikipedia:list-of-zx-spectrum-games:3d-grand-prix:developer-as-printed:ace-software-alan-p-cresswell-tink-cognito-software,3D Grand Prix,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2239,game,,,assertion:wikipedia:list-of-zx-spectrum-games:3d-grand-prix:publisher-as-printed:zeppelin-games,3D Grand Prix,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2240,game,,,assertion:wikipedia:list-of-zx-spectrum-games:3d-grand-prix:release-date-as-printed:1991,3D Grand Prix,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
game-2241,game,,,assertion:wikipedia:list-of-zx-spectrum-games:3d-grand-prix:title-seed:3d-grand-prix,3D Grand Prix,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
